id,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,preferred_source,source_examples,status,notes,allowed_forms,discouraged_forms,italic_automation
bbt-0097,самадхи,samadhi,philosophical_term,самадхи,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса,approved,Corpus-confirmed italic in proofread books (freq 7).,самадхи,,always
bbt-0098,туласи,tulasi,philosophical_term,туласи,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса; ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 5).,туласи,,always
bbt-0099,джива,jiva,philosophical_term,джива,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса; ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 4).,джива|дживы,,always
bbt-0100,йог,yogi|yog,philosophical_term,йог,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса; Воспоминания; ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 7).,йог|йоги|йога|йогой|йогу|йогами,,skip
bbt-0101,тилак,tilaka|tilak,philosophical_term,тилак,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса; Воспоминания; ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 6).,тилак|тилака|тилакой|тилаку,,always
bbt-0102,харинама,harinama,philosophical_term,харинама,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса; Воспоминания,approved,Corpus-confirmed italic in proofread books (freq 4).,харинама|харинамы|харинаму,,always
bbt-0103,мадхукари,madhukari,philosophical_term,мадхукари,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса,approved,Corpus-confirmed italic in proofread books (freq 3).,мадхукари,,always
bbt-0104,манджари,manjari,personal_name,манджари,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса,approved,Corpus-confirmed italic in proofread books (freq 3).,манджари,,always
bbt-0105,пранами,pranami,philosophical_term,пранами,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса,approved,Corpus-confirmed italic in proofread books (freq 3).,пранами,,always
bbt-0106,вьясасана,vyasasana,philosophical_term,вьясасана,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Воспоминания,approved,Corpus-confirmed italic in proofread books (freq 5).,вьясасана|вьясасане|вьясасаны,,always
bbt-0107,дева-даси,deva-dasi,personal_name,дева-даси,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 3).,дева-даси,,always
bbt-0108,адвайта-вада,advaita-vada,philosophical_term,адвайта-вада,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 4).,адвайта-вада|адвайта-ваду,,always
bbt-0109,кришна-према,krsna-prema|krishna-prema,philosophical_term,кришна-према,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса; ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 8).,кришна-према|кришна-премы|кришна-прему|кришна-премой,,always
bbt-0110,кришна-лила,krsna-lila|krishna-lila,philosophical_term,кришна-лила,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса; ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 5).,кришна-лила|кришна-лиле|кришна-лилы|кришна-лилу|кришна-лилах,,always
bbt-0111,кришна-катха,krsna-katha|krishna-katha,philosophical_term,кришна-катха,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 3).,кришна-катха|кришна-катху|кришна-катхой,,always
bbt-0112,раса,rasa,philosophical_term,раса,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 2).,раса,,skip
bbt-0113,раса-лила,rasa-lila,philosophical_term,раса-лила,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 3).,раса-лила|раса-лиле|раса-лилу,,always
bbt-0114,гхат,ghat|ghata,philosophical_term,гхат,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса,approved,Corpus-confirmed italic in proofread books (freq 4).,гхат|гхате,,always
bbt-0115,матха,matha,place_name,матха,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса,approved,Corpus-confirmed italic in proofread books (freq 2).,матха,,skip
bbt-0116,мукти,mukti,philosophical_term,мукти,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса; ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 2).,мукти,,always
bbt-0117,пуджари,pujari,philosophical_term,пуджари,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Воспоминания,approved,Corpus-confirmed italic in proofread books (freq 2).,пуджари,,always
bbt-0118,чатурмасья,caturmasya|chaturmasya,philosophical_term,чатурмасья,склоняется по-русски,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 3).,чатурмасья|чатурмасьи,,always
bbt-0119,шраддха,sraddha|shraddha,philosophical_term,шраддха,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 2).,шраддха,,always
bbt-0120,бхагавата,bhagavata,philosophical_term,бхагавата,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 2).,бхагавата,,skip
bbt-0121,садхана-бхакти,sadhana-bhakti,philosophical_term,садхана-бхакти,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,Вамшидаса; Воспоминания,approved,Corpus-confirmed italic in proofread books (freq 2).,садхана-бхакти,,always
bbt-0122,сандхья-вандана,sandhya-vandana,philosophical_term,сандхья-вандана,не склоняется,yes,no_diacritics_in_prose,lowercase_except_sentence_start,gold_books_v1,ШЧМ,approved,Corpus-confirmed italic in proofread books (freq 2).,сандхья-вандана,,always
